strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,gateway_threshold,detected,pre_onset_alarm,detection_time,first_alarm_time,transmissions,max_gateway_evidence,a1,a2,eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2
EIR,0,110,6380141540004301306,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,124,775.1602802882356,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,111,3277654332312883237,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,112,625.3287077611243,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,112,529870914102502410,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,107,473.8363431586939,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,113,4077133472998664756,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,109,609.5157507267811,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,114,590048257411954913,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,228.0,141,840.2213878333823,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,115,5556098502868485185,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,125,676.4590089385383,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,116,7624948859715811113,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,141,627.4805931990239,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,117,1908497876323257944,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,235.0,139,834.3296322514984,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,118,6654942851907356094,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,130,603.1636397667869,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,119,2474301920280693881,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,113,511.56018941477237,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,120,4446367381959723509,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,105,574.3796973692392,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,121,3044214150712242804,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,131,590.3387838694899,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,122,2564155487439337335,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,124,563.2052552115637,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,123,5695776974913125466,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,135,647.2030189227092,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,124,1843208301224522560,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,121,634.347089442362,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,125,8629461172255614842,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,111,675.9728993249947,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,126,9210026360957823969,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,114,730.7127096005916,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,127,3391529440808585547,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,120,562.8386029980907,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,128,2370946726501696830,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,123,633.5246799793418,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,129,4785190026911278648,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,122,565.135495057907,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,130,3524734538290878975,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,125,657.1683282014721,0.03,0.012,0.84,0.02,0.01,0.75
