strategy,state_h1,detected,pre_onset_alarm,detection_time,first_alarm_time,transmissions,max_gateway_evidence
RR,1,0,0,inf,inf,71,14.348783340827548
RR,1,0,0,inf,inf,59,13.78311183582591
RR,1,0,0,inf,inf,35,9.221309126132635
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,8.0,2,23.55003125871868
TR,0,0,0,inf,inf,1,2.4506834894052596
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,4.372631793275863
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,5.0412636875931875
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,4.023924676386484
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,4.446167944486115
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,5.273235475065012
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,5.871837780265569
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,2.5573917308430625
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,6.0,2,25.659223505849543
TR,0,0,0,inf,inf,1,3.344761007210042
TR,0,0,0,inf,inf,2,7.780903659909548
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,6.164580115836615
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,13.757454060855205
TR,0,0,0,inf,inf,1,4.290731157330102
TR,0,0,0,inf,inf,2,13.548672578435134
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,3.7472994211231465
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,11.130579826154028
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,2,3.0534697427717004
TR,0,0,0,inf,inf,3,8.42258778478242
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,7.156240053813049
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,2,8.851699279019591
TR,0,0,0,inf,8.0,1,23.442362679686987
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,2,10.259964694419901
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,6.240819935142926
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,4.448723203475625
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,1,2.3927824906722828
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,0,0.0
TR,0,0,0,inf,inf,2,21.80317150151798
